,ID,MOLD_ID,CT,TFF
96261,1671524,B,178,20211102151611
96275,1671617,F,0,20211102151157
96281,1671646,C,183,20211102152935
96297,1671757,B,178,20211102161613
96310,1671846,F,0,20211102161159
96315,1671871,C,183,20211102162938
96331,1671983,B,178,20211102171615
96344,1672074,F,0,20211102171202
96349,1672097,C,183,20211102172940
96369,1672405,B,178,20211102181617
96382,1672518,F,0,20211102181204
96387,1672541,C,183,20211102182942
96404,1672657,B,178,20211102191619
96418,1672749,F,0,20211102191207
96423,1672774,C,183,20211102192944
96440,1672889,B,178,20211102201621
96454,1672983,F,0,20211102201209
96459,1673006,C,183,20211102202947
96476,1673121,B,178,20211102211623
96490,1673215,F,0,20211102211212
96495,1673238,C,183,20211102212949
96511,1673350,B,178,20211102221625
96525,1673444,F,0,20211102221214
96530,1673467,C,183,20211102222951
96545,1673576,B,178,20211102231628
96555,1673643,C,183,20211102232954
96561,1673683,F,0,20211102231216
96583,1673815,B,178,20211103001630
96594,1673897,F,0,20211103001218
96600,1673923,C,183,20211103002956
96616,1674035,B,178,20211103011632
96626,1674105,F,0,20211103011220
96631,1674155,C,184,20211103012958
96653,1674309,B,178,20211103021634
96661,1674376,F,0,20211103021223
96662,1674379,C,182,20211103023000
96684,1674542,B,178,20211103031636
96695,1674615,F,0,20211103031225
96699,1674632,C,183,20211103033003
96713,1674737,B,178,20211103041638
96726,1674814,F,0,20211103041228
96730,1674833,C,183,20211103043006
96747,1674947,B,178,20211103051640
96760,1675026,F,0,20211103051231
96767,1675069,C,183,20211103053009
96778,1675147,B,178,20211103061643
96790,1675721,F,0,20211103061233
96797,1675766,C,183,20211103064003
96808,1675844,B,178,20211103071645
96820,1675920,F,0,20211103071236
96827,1675963,C,183,20211103074006
96868,1676171,B,178,20211103081647
96883,1676258,F,0,20211103081238
96890,1676301,C,183,20211103084008
96905,1676392,B,178,20211103091649
96923,1676522,F,0,20211103091240
96931,1676574,C,183,20211103094010
96945,1676669,B,178,20211103101651
96958,1676754,F,0,20211103101242
96979,1676878,C,183,20211103104012
96980,1676894,B,0,20211103111653
96998,1677012,F,0,20211103111245
97003,1677034,C,182,20211103114015
97034,1677181,B,178,20211103121655
97048,1677277,F,0,20211103121248
97057,1677332,C,183,20211103124018
97068,1677417,B,0,20211103131658
97084,1677523,F,0,20211103131250
97093,1677577,C,183,20211103134020
97104,1677660,B,0,20211103141700
97119,1677763,F,0,20211103141252
97129,1677822,C,183,20211103144022
97143,1677914,B,178,20211103151703
97158,1678016,F,0,20211103151254
97168,1678075,C,183,20211103154024
97182,1678169,B,0,20211103161705
97197,1678272,F,0,20211103161256
97205,1678323,C,183,20211103164026
97218,1678419,B,786,20211103171707
97250,1678560,F,0,20211103171258
97257,1678605,C,183,20211103174029
97274,1678736,B,178,20211103181709
97288,1678832,F,0,20211103181300
97295,1678881,C,183,20211103184031
97310,1678980,B,178,20211103191712
97324,1679076,F,0,20211103191303
97331,1679125,C,183,20211103194033
97346,1679220,B,0,20211103201717
97360,1679313,F,0,20211103201305
97365,1679351,C,183,20211103204035
97383,1679488,B,0,20211103211719
97398,1679590,F,0,20211103211307
97405,1679639,C,183,20211103214038
97419,1679732,B,178,20211103221721
97434,1679834,F,0,20211103221310
97444,1679892,C,183,20211103224040
97458,1679985,B,0,20211103231723
97479,1680107,C,183,20211103234042
97481,1680123,F,0,20211103231314
97499,1680237,B,0,20211104001725
97515,1680351,F,0,20211104001316
97521,1680389,C,183,20211104004045
97536,1680488,B,0,20211104011727
97558,1680617,F,0,20211104011319
97564,1680654,C,183,20211104014047
97579,1680753,B,0,20211104021729
97592,1680862,F,0,20211104021323
97601,1680933,C,183,20211104024049
97616,1681045,B,0,20211104031731
97628,1681147,F,0,20211104031325
97638,1681201,C,183,20211104034052
97658,1681347,B,0,20211104042720
97667,1681392,F,0,20211104041328
97675,1681437,C,183,20211104044054
97692,1681563,B,0,20211104052722
97702,1681633,F,0,20211104051330
97710,1681678,C,183,20211104054056
